kpid,"kwst","acc_list","acc_tag_list","pind_list"
368,"Cana, marriage feast of","155, 217, 342, 1664, 1929, 3038 ","_155_,_217_,_342_,_1664_,_1929_,_3038_","a00672,a01481,a01285,a01574,a00334,a00933"
369,"Canaan, conquest of","2100 ","_2100_","a00202"
370,"Canaanites","2110 ","_2110_","a00514"
371,"\"Candid expostulation with those, who trespass against us\"","2175 ","_2175_","a00113"
372,"Cane, F.","1030 ","_1030_","a00599"
373,"canonical scripture","3044 ","_3044_","a00872"
374,"Canterbury, St. Thomas of","336 ","_336_","a01268"
375,"Canticles, Book of","4029 ","_4029_","a00713"
376,"\"Care in hearing the Word\"","1930 ","_1930_","a00114"
377,"\"Care of salvation, On the\"","276 ","_276_","a01125"
378,"Carey, D.","1032 ","_1032_","a01169"
379,"Carey, Rachel, funeral of","88 ","_88_","a00612"
380,"Carey, Sally, funeral of","95 ","_95_","a00602"
381,"Carr, Elizabeth","4061 ","_4061_","a01086"
382,"Carr, Jon","1 ","_1_","a00015"
383,"Carrington, Col. George, funeral of","931 ","_931_","a01198"
384,"Carter, Priscilla","915 ","_915_","a00012"
385,"Carter, Robert, funeral of","915 ","_915_","a00012"
386,"\"Case of the penitent thief, The\"","2156 ","_2156_","a00115"
387,"Cassandra","672 ","_672_","a01218"
388,"catechism","4013, 4014, 4015, 4020, 4021, 4031, 4037, 4039, 4045 ","_4013_,_4014_,_4015_,_4020_,_4021_,_4031_,_4037_,_4039_,_4045_","a00748,a00708,a00718,a00733,a00711,a00715,a00714,a00743,a00737"
389,"\"Catechismum de Domini Cana, In\"","4021 ","_4021_","a00711"
390,"Catholic Church","150 ","_150_","a00575"
391,"Catholic Church, criticism of","1817, 1849, 1891, 1993, 2000, 2047, 4014, 4026 ","_1817_,_1849_,_1891_,_1993_,_2000_,_2047_,_4014_,_4026_","a00186,a00370,a00104,a00152,a00220,a00417,a00708,a00724"
392,"Catholic Church, persecution of","118 ","_118_","a00648"
393,"Catholicism, defeat of","3064 ","_3064_","a00980"
394,"Catholicism, opposition to","3044, 3045, 3046, 3047 ","_3044_,_3045_,_3046_,_3047_","a00872,a00873,a00874,a00875"
395,"\"Cause of Children Advocated, The\"","969a, 969 ","_969a_,_969_","a01397,a01398"
396,"\"Cause of young children advocated, The\"","970 ","_970_","a01399"
397,"Causse, Rev. John B.","112, 113 ","_112_,_113_","a00654,a00662"
398,"\"Caution against falling from Grace\"","1750 ","_1750_","a00116"
399,"Cavenaughs","295 ","_295_","a01161"
400,"\"Ceasing to do evil \"","2037 ","_2037_","a00117"
401,"\"Celestial Glory, On\"","229 ","_229_","a01465"
402,"\"Centurion's petition for his sick servant, The\"","2049 ","_2049_","a00118"
403,"\"Certainty of Death, On the\"","976, 1030 ","_976_,_1030_","a01400,a00599"
404,"certainty of dissolution of the world","3068 ","_3068_","a00966"
405,"\"Certainty of future happiness, On the\"","1774 ","_1774_","a00119"
406,"certainty of last judgment","3122 ","_3122_","a00923"
407,"certainty of salvation","4006 ","_4006_","a00758"
408,"\"Ch. 8, V. 10, 11\"","2192 ","_2192_","a00456"
409,"chapel, dedication of","63 ","_63_","a00582"
410,"chapel, opening of","1669 ","_1669_","a01650"
411,"Chapman, Nuthill","1870 ","_1870_","a00156"
412,"character, man's","3041 ","_3041_","a00960"
413,"\"Character & errand of Ministers\"","2152 ","_2152_","a00120"
414,"\"Character of a profitable resolution to amend \"","2032 ","_2032_","a00121"
415,"\"Character of Cornelius, The\"","2084 ","_2084_","a00122"
416,"\"Character of Judas, On the\"","978 ","_978_","a01401"
417,"\"Character of St Paul, On the\"","2130 ","_2130_","a00123"
418,"\"Charge to the Newly Ordained, A\"","991c ","_991c_","a01097"
419,"charities, misuse of","2014 ","_2014_","a00278"
420,"charity","156, 207, 210, 398, 421, 438, 470, 794, 874, 1770, 1790, 1793, 1795, 1802, 1811, 1823, 1846, 1911, 1944, 1947, 1961, 2029, 2033, 2036, 2039, 2043, 2046, 2049, 2054, 2061, 2063, 2071, 2078, 2079, 2089, 2094, 2095, 2105, 2120, 2137, 2149, 2165, 2166, 2171, 2179, 2181, 2184, 2190, 2198, 4006, 4006, 4017, 4022, 4066 ","_156_,_207_,_210_,_398_,_421_,_438_,_470_,_794_,_874_,_1770_,_1790_,_1793_,_1795_,_1802_,_1811_,_1823_,_1846_,_1911_,_1944_,_1947_,_1961_,_2029_,_2033_,_2036_,_2039_,_2043_,_2046_,_2049_,_2054_,_2061_,_2063_,_2071_,_2078_,_2079_,_2089_,_2094_,_2095_,_2105_,_2120_,_2137_,_2149_,_2165_,_2166_,_2171_,_2179_,_2181_,_2184_,_2190_,_2198_,_4006_,_4006_,_4017_,_4022_,_4066_","a00673,a01476,a01472,a01428,a01516,a01685,a01502,a00770,a01051,a00415,a00385,a00136,a00273,a00229,a00338,a00215,a00306,a00493,a00103,a00373,a00330,a00274,a00520,a00341,a00496,a00249,a00307,a00118,a00326,a00135,a00144,a00324,a00269,a00424,a00078,a00236,a00297,a00194,a00244,a00399,a00072,a00237,a00499,a00358,a00164,a00459,a00149,a00151,a00231,a00758,a00758,a00725,a00735,a01089"
421,"\"Charity, --as defined by St Paul\"","1880 ","_1880_","a00124"
422,"charity, Christian","330, 3030 ","_330_,_3030_","a01260,a00929"
423,"charity, fraternal","238 ","_238_","a01067"
424,"charity, fundamental Christian doctrine","2130, 4042 ","_2130_,_4042_","a00123,a00730"
425,"charity, necessity of","1766, 1859, 2082, 2094 ","_1766_,_1859_,_2082_,_2094_","a00517,a00325,a00258,a00236"
426,"\"Charity, On\"","348, 349, 406 ","_348_,_349_,_406_","a01273,a01274,a01204"
427,"charity, persuasion to","1769 ","_1769_","a00384"
428,"\"Charity: John the Apostle\"","163 ","_163_","a00638"
429,"\"Charity: Mark, VIII, 2\"","167 ","_167_","a00639"
430,"\"Charity: The Neighbor\"","145 ","_145_","a00640"
431,"\"Charity of Baltimore, The\"","114 ","_114_","a00637"
432,"charity school","2180 ","_2180_","a00205"
433,"\"Charity to one's enemies, On\"","298 ","_298_","a01160"
434,"Charles I, execution of","2066 ","_2066_","a00476"
435,"Charlottesville","921 ","_921_","a00744"
436,"chastisement","1735, 4063 ","_1735_,_4063_","a01648,a01083"
437,"chastity","1615, 1978, 4026 ","_1615_,_1978_,_4026_","a01542,a00267,a00724"
438,"cheer, good","4016 ","_4016_","a00754"
439,"cheerfulness","927, 4016, 4018 ","_927_,_4016_,_4018_","a00996,a00754,a00729"
440,"cheerfulness, from obedience","3022 ","_3022_","a00934"
441,"Chew, Thomas John","1778 ","_1778_","a00176"
442,"children","392, 969a, 969, 970, 971, 972, 974, 975, 1790 ","_392_,_969a_,_969_,_970_,_971_,_972_,_974_,_975_,_1790_","a01426,a01397,a01398,a01399,a01409,a01410,a01406,a01407,a00385"
443,"children, Christ's love for","1802 ","_1802_","a00229"
444,"children, discipline of","160, 2099 ","_160_,_2099_","a00649,a00193"
445,"children, duties of","1784, 4031 ","_1784_,_4031_","a00374,a00715"
446,"children, duty to educate","3037, 4010, 4031 ","_3037_,_4010_,_4031_","a00938,a00707,a00715"
447,"children, duty to obey parents","680, 1756 ","_680_,_1756_","a01216,a00209"
448,"children, duty towards","156, 160, 192 ","_156_,_160_,_192_","a00673,a00649,a01009"
449,"children, education of","143, 2101, 2102, 4031 ","_143_,_2101_,_2102_,_4031_","a00635,a00349,a00498,a00715"
450,"children, importance of to God","934o ","_934o_","a01350"
451,"children, joy of","3058 ","_3058_","a00898"
452,"\"Children, obey your Parents in the Lord\"","680 ","_680_","a01216"
453,"children, overindulgence of","2105 ","_2105_","a00194"
454,"children, parents' duties to","1839, 2021, 4031 ","_1839_,_2021_,_4031_","a00177,a00445,a00715"
455,"children, poor, duties to","1841 ","_1841_","a00230"
456,"children, proper education of","1744 ","_1744_","a00080"
457,"children, religious education of","637, 649, 4031 ","_637_,_649_,_4031_","a00559,a00539,a00715"
458,"children, teaching music to","1897 ","_1897_","a00397"
459,"children, training by parents","2174, 4031 ","_2174_,_4031_","a00085,a00715"
460,"children of clergymen","1944 ","_1944_","a00103"
461,"Children of Light","1673 ","_1673_","a01623"
462,"\"Children of Light instructed how to walk, The\"","897 ","_897_","a01157"
463,"chosen people","2156, 4009, 4027 ","_2156_,_4009_,_4027_","a00115,a00749,a00753"
464,"Christ's coming, preparation for","1853 ","_1853_","a00363"
465,"\"Christ's Crucifixion, Of\"","934w ","_934w_","a01356"
466,"Christ's disciples","3050 ","_3050_","a00983"
467,"Christ's divinity denied","1894 ","_1894_","a00108"
468,"Christ's incarnation","2074 ","_2074_","a00420"
469,"Christ's influence","3131 ","_3131_","a00928"
470,"\"Christ's Invitation to penitent Sinners\"","1742 ","_1742_","a00127"
471,"Christ's love","1012, 3131 ","_1012_,_3131_","a01454,a00928"
472,"\"Christ's Love for the Church\"","4029 ","_4029_","a00713"
473,"\"Christ's Passion, Of\"","934gg ","_934gg_","a01357"
474,"\"Christ's Preaching to Spirits, On\"","3110 ","_3110_","a00856"
475,"\"Christ's propitiation, Of\"","934cc ","_934cc_","a01358"
476,"\"Christ's reanimated body not imaginary, but real \"","1987 ","_1987_","a00128"
477,"\"Christ's Resurrection, Of\"","934j ","_934j_","a01359"
478,"Christ's yoke, easiness of","934rr, 934ss, 958 ","_934rr_,_934ss_,_958_","a01362,a01392,a01235"
479,"Christ, acknowledgement of","1868 ","_1868_","a00200"
480,"Christ, actions of","3073 ","_3073_","a00924"
481,"Christ, ambassadors for","791, 801 ","_791_,_801_","a00788,a00824"
482,"Christ, Ascension of","334, 383, 679, 1024, 2087, 3013 ","_334_,_383_,_679_,_1024_,_2087_,_3013_","a01259,a01419,a01222,a01058,a00211,a00843"
483,"Christ, atonement of","1899, 2178 ","_1899_,_2178_","a00094,a00411"
484,"Christ, authority of","1989 ","_1989_","a00332"
485,"Christ, baptism of","2173 ","_2173_","a00458"
486,"Christ, belief in","1686, 2101, 4049, 4064 ","_1686_,_2101_,_4049_,_4064_","a01680,a00349,a00732,a01087"
487,"Christ, betrayal of","635 ","_635_","a00547"
488,"Christ, betrayal of by Judas","3043 ","_3043_","a00850"
489,"Christ, birth of","86, 87, 94, 289, 290, 927, 990, 1627, 2128, 3017, 4035 ","_86_,_87_,_94_,_289_,_290_,_927_,_990_,_1627_,_2128_,_3017_,_4035_","a00609,a00610,a00611,a01165,a01164,a00996,a01100,a01538,a00401,a00916,a00716"
490,"Christ, blessings of","2011 ","_2011_","a00082"
491,"Christ, blood of","1635, 4010, 4021, 4039 ","_1635_,_4010_,_4021_,_4039_","a01553,a00707,a00711,a00743"
492,"Christ, body and blood of","1006, 3020, 4047 ","_1006_,_3020_,_4047_","a01186,a00927,a00720"
493,"Christ, body of","96, 4021 ","_96_,_4021_","a00606,a00711"
494,"Christ, burial of","1020 ","_1020_","a01054"
495,"Christ, character of","676, 1812, 1813, 2071 ","_676_,_1812_,_1813_,_2071_","a01219,a00404,a00395,a00324"
496,"Christ, church founded by","2106 ","_2106_","a00191"
497,"Christ, Church of","3006, 4037 ","_3006_,_4037_","a00935,a00714"
498,"Christ, commission to the Apostles","2151, 2152, 4047 ","_2151_,_2152_,_4047_","a00143,a00120,a00720"
499,"Christ, commitment to","991b, 4022, 4034 ","_991b_,_4022_,_4034_","a01099,a00735,a00709"
500,"Christ, compassion of","789, 1667, 1674, 2047 ","_789_,_1667_,_1674_,_2047_","a00835,a01634,a01635,a00417"
501,"Christ, confidence in","2090 ","_2090_","a00079"
502,"Christ, contemplation of his sufferings","477, 4016 ","_477_,_4016_","a00629,a00754"
503,"Christ, crucifixion of","106, 885, 934w, 1617, 1651, 1727, 1986, 2107, 2139, 2165, 2187, 4019, 4026, 4032, 4041, 4044, 4049 ","_106_,_885_,_934w_,_1617_,_1651_,_1727_,_1986_,_2107_,_2139_,_2165_,_2187_,_4019_,_4026_,_4032_,_4041_,_4044_,_4049_","a00634,a01071,a01356,a01536,a01565,a01670,a00189,a00064,a00192,a00237,a00457,a00728,a00724,a00727,a00712,a00741,a00732"
504,"Christ, David's prophecy of","2177 ","_2177_","a00168"
505,"Christ, death of","1887, 1888, 1889, 4016, 4019, 4047, 4051, 4061 ","_1887_,_1888_,_1889_,_4016_,_4019_,_4047_,_4051_,_4061_","a00101,a00254,a00187,a00754,a00728,a00720,a00740,a01086"
506,"Christ, defended by Peter","2187 ","_2187_","a00457"
507,"Christ, denied by Peter","2187 ","_2187_","a00457"
508,"Christ, descent from David","2127 ","_2127_","a00138"
509,"Christ, dignity of","2026, 4022 ","_2026_,_4022_","a00448,a00735"
510,"Christ, divine and human nature of","1970, 2098, 4035 ","_1970_,_2098_,_4035_","a00137,a00301,a00716"
511,"Christ, divine power of","2139, 4003 ","_2139_,_4003_","a00192,a00738"
512,"Christ, divinity of","633, 934a, 1683, 1794, 2096, 2107, 2128, 2129, 2151, 2205 ","_633_,_934a_,_1683_,_1794_,_2096_,_2107_,_2128_,_2129_,_2151_,_2205_","a00537,a01391,a01626,a00298,a00206,a00064,a00401,a00263,a00143,a00159"
513,"Christ, dominion of","2098 ","_2098_","a00301"
514,"Christ, duty to imitate","3125 ","_3125_","a00915"
515,"Christ, emulation of","1666, 3024, 4042 ","_1666_,_3024_,_4042_","a01679,a00860,a00730"
516,"Christ, exaltation of","1617, 1842 ","_1617_,_1842_","a01536,a00092"
517,"Christ, example of","676, 1640, 1666, 3015 ","_676_,_1640_,_1666_,_3015_","a01219,a01545,a01679,a00918"
518,"Christ, faith in","642, 1686, 4012 ","_642_,_1686_,_4012_","a00534,a01680,a00734"
519,"Christ, fellowship with God through","1658 ","_1658_","a01529"
520,"Christ, forgiveness in","1611 ","_1611_","a01554"
521,"Christ, frequenting of synagogues","2113 ","_2113_","a00331"
522,"Christ, fulfillment of prophecy","2165 ","_2165_","a00237"
523,"Christ, healing power of","1719, 1935 ","_1719_,_1935_","a01641,a00296"
524,"Christ, hour of","664 ","_664_","a00546"
525,"Christ, humanity of","2177 ","_2177_","a00168"
526,"Christ, humiliation of","1617 ","_1617_","a01536"
527,"Christ, humility of","1747, 4035 ","_1747_,_4035_","a00251,a00716"
528,"Christ, imitation of","934ss, 1666, 1842, 1906, 1910, 1935, 1963, 2030, 2042, 2050, 2070, 2071, 2081, 2104, 2106, 2135, 2136, 2165, 2174, 2189, 3015, 3024, 4022, 4025, 4048, 4064 ","_934ss_,_1666_,_1842_,_1906_,_1910_,_1935_,_1963_,_2030_,_2042_,_2050_,_2070_,_2071_,_2081_,_2104_,_2106_,_2135_,_2136_,_2165_,_2174_,_2189_,_3015_,_3024_,_4022_,_4025_,_4048_,_4064_","a01392,a01679,a00092,a00400,a00158,a00296,a00234,a00132,a00460,a00502,a00322,a00324,a00386,a00437,a00191,a00371,a00317,a00237,a00085,a00073,a00918,a00860,a00735,a00759,a00726,a01087"
529,"Christ, incarnation of","934y, 2106, 2152, 4035 ","_934y_,_2106_,_2152_,_4035_","a01381,a00191,a00120,a00716"
530,"Christ, intercession of","1794, 4029 ","_1794_,_4029_","a00298,a00713"
531,"Christ, invitation of","4029 ","_4029_","a00713"
532,"Christ, Jesus","59, 60, 241, 272 ","_59_,_60_,_241_,_272_","a00579,a00589,a01080,a01130"
533,"Christ, justification through","1965, 4039, 4061 ","_1965_,_4039_,_4061_","a00314,a00743,a01086"
534,"Christ, knowledge of","991a, 991, 2185, 4041 ","_991a_,_991_,_2185_,_4041_","a01102,a01104,a00210,a00712"
535,"Christ, life of","2172, 4013 ","_2172_,_4013_","a00255,a00748"
536,"Christ, love for mankind","1667, 1674, 4047 ","_1667_,_1674_,_4047_","a01634,a01635,a00720"
537,"Christ, love of","770, 772, 821, 1614, 1615, 1620, 4016, 4029 ","_770_,_772_,_821_,_1614_,_1615_,_1620_,_4016_,_4029_","a00820,a00785,a00784,a01569,a01542,a01537,a00754,a00713"
538,"Christ, man's savior","1975 ","_1975_","a00105"
539,"Christ, martyrdom of","1785 ","_1785_","a00430"
540,"Christ, mercy of","1704, 1721, 2192, 2206, 4021, 4029 ","_1704_,_1721_,_2192_,_2206_,_4021_,_4029_","a01607,a01615,a00456,a00523,a00711,a00713"
541,"Christ, mildness of toward sinners","2156 ","_2156_","a00115"
542,"Christ, ministry of","117 ","_117_","a00643"
543,"Christ, miracles of","1787, 2127 ","_1787_,_2127_","a00484,a00138"
544,"Christ, moral system of","676 ","_676_","a01219"
545,"Christ, mysteries of","4046 ","_4046_","a00736"
546,"Christ, mystical body of","934jj, 4061 ","_934jj_,_4061_","a01354,a01086"
547,"Christ, mystical union with","4029 ","_4029_","a00713"
548,"Christ, name of","3101, 4046 ","_3101_,_4046_","a00845,a00736"
549,"Christ, nativity of","225, 4035 ","_225_,_4035_","a01483,a00716"
550,"Christ, obedience of","1026 ","_1026_","a01055"
551,"Christ, obedience to","1614, 1615 ","_1614_,_1615_","a01569,a01542"
552,"Christ, opposition to","1923 ","_1923_","a00224"
553,"Christ, pardon of sinners","2068 ","_2068_","a00413"
554,"Christ, passion of","200, 934w, 1023, 1951, 2139, 3131, 4019 ","_200_,_934w_,_1023_,_1951_,_2139_,_3131_,_4019_","a01038,a01356,a01057,a00414,a00192,a00928,a00728"
555,"Christ, persecution of","1818 ","_1818_","a00253"
556,"Christ, preaching of","2127, 2152, 2186, 4047 ","_2127_,_2152_,_2186_,_4047_","a00138,a00120,a00465,a00720"
557,"Christ, preparation of the people of","1618 ","_1618_","a01573"
558,"Christ, prepared for","1619 ","_1619_","a01544"
559,"Christ, presence of","2170 ","_2170_","a00067"
560,"Christ, presence of in Eucharist","162 ","_162_","a00652"
561,"Christ, proper expression of love for","1620 ","_1620_","a01537"
562,"Christ, prophecies of","2071, 2172 ","_2071_,_2172_","a00324,a00255"
563,"Christ, prophecy of","200, 2128 ","_200_,_2128_","a01038,a00401"
564,"Christ, prudence of","1885 ","_1885_","a00378"
565,"Christ, qualities of","2098, 4022, 4041 ","_2098_,_4022_,_4041_","a00301,a00735,a00712"
566,"Christ, reconciliation to","4045 ","_4045_","a00737"
567,"Christ, remembrance of","1667, 1674, 4047 ","_1667_,_1674_,_4047_","a01634,a01635,a00720"
568,"Christ, resurrection of","76, 106, 182, 333, 934b, 1721, 1887, 1888, 1889, 1892, 1940, 1941, 1986, 1987, 2070, 2106, 2107, 2139, 2140, 2187, 3072, 4006, 4019, 4049 ","_76_,_106_,_182_,_333_,_934b_,_1721_,_1887_,_1888_,_1889_,_1892_,_1940_,_1941_,_1986_,_1987_,_2070_,_2106_,_2107_,_2139_,_2140_,_2187_,_3072_,_4006_,_4019_,_4049_","a00618,a00634,a01026,a01266,a01387,a01615,a00101,a00254,a00187,a00091,a00281,a00282,a00189,a00128,a00322,a00191,a00064,a00192,a00418,a00457,a00961,a00758,a00728,a00732"
569,"Christ, revelation of","1787 ","_1787_","a00484"
570,"Christ, roles of","2098, 4037, 4041, 4066 ","_2098_,_4037_,_4041_,_4066_","a00301,a00714,a00712,a01089"
571,"Christ, sacrifice of","127, 1990, 2085, 2106, 4019, 4021, 4035, 4041, 4044, 4047 ","_127_,_1990_,_2085_,_2106_,_4019_,_4021_,_4035_,_4041_,_4044_,_4047_","a00653,a00062,a00140,a00191,a00728,a00711,a00716,a00712,a00741,a00720"
572,"Christ, salvation through","832, 872, 926, 934t, 1012, 1635, 1672, 1675, 1681, 1686, 1712, 1724, 1823, 2114, 2172, 2185, 3131, 4004, 4005, 4006, 4012, 4013, 4026, 4027, 4028, 4029, 4031, 4034, 4035, 4036, 4037, 4041, 4042, 4043, 4046, 4047, 4048, 4049, 4061, 4063 ","_832_,_872_,_926_,_934t_,_1012_,_1635_,_1672_,_1675_,_1681_,_1686_,_1712_,_1724_,_1823_,_2114_,_2172_,_2185_,_3131_,_4004_,_4005_,_4006_,_4012_,_4013_,_4026_,_4027_,_4028_,_4029_,_4031_,_4034_,_4035_,_4036_,_4037_,_4041_,_4042_,_4043_,_4046_,_4047_,_4048_,_4049_,_4061_,_4063_","a00764,a01040,a00993,a01379,a01454,a01553,a01665,a01677,a01647,a01680,a01637,a01675,a00215,a00369,a00255,a00210,a00928,a00706,a00722,a00758,a00734,a00748,a00724,a00753,a00723,a00713,a00715,a00709,a00716,a00721,a00714,a00712,a00730,a00742,a00736,a00720,a00726,a00732,a01086,a01083"
573,"Christ, scourging of","423 ","_423_","a01525"
574,"Christ, second coming of","161, 226, 643, 2085, 2106, 2179, 3003, 4034 ","_161_,_226_,_643_,_2085_,_2106_,_2179_,_3003_,_4034_","a00669,a01479,a00560,a00140,a00191,a00164,a00869,a00709"
575,"Christ, sepulchre of","2027 ","_2027_","a00190"
576,"Christ, similarity to Moses","2128 ","_2128_","a00401"
577,"Christ, soldiers of","988 ","_988_","a01098"
578,"Christ, son of God","4035 ","_4035_","a00716"
579,"Christ, special relationship with John","2198 ","_2198_","a00231"
580,"Christ, spirit of","4061 ","_4061_","a01086"
581,"Christ, sufferings of","2026, 2197, 4007, 4016, 4019, 4041, 4048 ","_2026_,_2197_,_4007_,_4016_,_4019_,_4041_,_4048_","a00448,a00075,a00719,a00754,a00728,a00712,a00726"
582,"Christ, sufferings of commemorated","1659 ","_1659_","a01530"
583,"Christ, teachings of","2080, 4026 ","_2080_,_4026_","a00375,a00724"
584,"Christ, temptation of","1632, 1882, 1937, 2136, 4013, 4016 ","_1632_,_1882_,_1937_,_2136_,_4013_,_4016_","a01576,a00468,a00467,a00317,a00748,a00754"
585,"Christ, transfiguration of","371 ","_371_","a01305"
